Symbol,Sector,Price,Trend,Score,RS_5d,RS_10d,RS_20d,VolRatio,Breakout,Pullback,GapEvent,ATR14,ExpMovePct,DollarVol20d,DaysSinceEarnings,NextEarnings,EarningsInWindow,ExDivDate,ExDivInWindow
FPS,,39.44,chop,99.04006677796328,24.04,30.13,18.1,2.19,True,False,True,2.43,13.8,310707754.0,,,False,,False
CVI,Energy,53.69,uptrend,84.97913188647746,8.21,24.44,49.72,1.56,True,False,False,2.65,11.1,55535607.0,53.0,2026-10-28,False,2026-08-10,False
SMTC,Technology,185.0,uptrend,84.95826377295492,10.71,37.87,48.01,1.61,True,False,False,11.22,13.6,563183639.0,26.0,2026-11-23,False,1980-09-05,False
MSTR,Technology,153.92,chop,84.8956594323873,17.62,7.52,36.82,1.96,True,False,False,9.73,14.1,3684927415.0,52.0,2026-10-29,False,,False
UMC,Technology,24.61,uptrend,84.87479131886478,8.79,25.16,36.59,2.47,True,False,False,0.95,8.7,261295443.0,53.0,2026-10-28,False,2026-07-08,False
SEI,Energy,69.66,chop,84.68697829716194,3.62,32.51,28.55,1.83,True,False,False,4.43,14.2,167149264.0,46.0,2026-11-02,False,2026-09-15,False
DINO,Energy,115.9,uptrend,84.56176961602671,7.57,10.43,24.87,2.21,True,False,False,4.36,8.4,270493963.0,54.0,2026-10-29,False,2026-08-11,False
BTDR,Technology,12.97,chop,84.52003338898163,8.54,10.14,24.22,1.63,True,False,False,0.89,15.3,131514793.0,41.0,2026-11-09,False,,False
MXL,Technology,81.12,uptrend,84.49916527545909,8.88,37.69,24.14,2.05,True,False,False,5.23,14.4,161001049.0,59.0,2026-10-22,False,,False
SBET,Financial Services,9.35,chop,84.43656093489149,5.39,5.36,23.06,1.72,True,False,False,0.66,15.9,80371367.0,44.0,2026-11-12,False,,False
TWST,Healthcare,166.99,uptrend,84.37395659432387,31.35,30.98,22.36,1.78,True,False,False,9.91,13.3,244809612.0,48.0,2026-11-16,False,,False
CLMT,Basic Materials,59.0,uptrend,84.31135225375627,3.97,11.52,22.05,2.06,True,False,False,2.31,8.7,69976690.0,44.0,2026-11-06,False,2016-01-29,False
VLO,Energy,413.28,uptrend,84.18614357262103,5.95,12.73,20.89,2.96,True,False,False,13.71,7.4,1196511539.0,52.0,2026-10-22,False,2026-07-31,False
