Symbol,Sector,Price,Trend,Score,RS_5d,RS_10d,RS_20d,VolRatio,Breakout,Pullback,GapEvent,ATR14,ExpMovePct,DollarVol20d,DaysSinceEarnings,NextEarnings,EarningsInWindow,ExDivDate,ExDivInWindow,PreVol,ExpiryVol,UpDn,LastDayPct,VolExExpiry
FPS,,39.44,chop,99.04006677796328,24.04,30.13,18.1,2.19,True,False,True,2.43,13.8,310707754.0,,,False,,False,2.494128509004892,2.388877996903832,1.465404212848663,3.6258465675894413,2.494128509004892
CVI,Energy,53.69,uptrend,84.97913188647746,8.21,24.44,49.72,1.56,True,False,False,2.65,11.1,55535607.0,53.0,2026-10-28,False,2026-08-10,False,1.0783144029779517,1.6353571025709996,1.4425505305200306,-0.8311798448699115,1.0783144029779517
SMTC,Technology,185.0,uptrend,84.95826377295492,10.71,37.87,48.01,1.61,True,False,False,11.22,13.6,563183639.0,26.0,2026-11-23,False,1980-09-05,False,1.0287776127779822,1.6981604777747141,3.247686396291483,3.8217618639031503,1.0287776127779822
MSTR,Technology,153.92,chop,84.8956594323873,17.62,7.52,36.82,1.96,True,False,False,9.73,14.1,3684927415.0,52.0,2026-10-29,False,,False,0.7555891179577681,1.9891463286004132,1.584353297062775,16.38563188578095,0.7555891179577681
UMC,Technology,24.61,uptrend,84.87479131886478,8.79,25.16,36.59,2.47,True,False,False,0.95,8.7,261295443.0,53.0,2026-10-28,False,2026-07-08,False,1.2054987725874444,2.6827890771649554,1.9455656458313206,0.57213445412998,1.2054987725874444
SEI,Energy,69.66,chop,84.68697829716194,3.62,32.51,28.55,1.83,True,False,False,4.43,14.2,167149264.0,46.0,2026-11-02,False,2026-09-15,False,1.0635640600201992,1.833177030731496,2.0566385247845242,0.6356579509487981,1.0635640600201992
DINO,Energy,115.9,uptrend,84.56176961602671,7.57,10.43,24.87,2.21,True,False,False,4.36,8.4,270493963.0,54.0,2026-10-29,False,2026-08-11,False,1.1121219229233101,2.3832195377596324,1.0799675614437603,-0.6173908452632326,1.1121219229233101
BTDR,Technology,12.97,chop,84.52003338898163,8.54,10.14,24.22,1.63,True,False,False,0.89,15.3,131514793.0,41.0,2026-11-09,False,,False,0.719595625400495,1.6060252521101164,1.9986877566651244,15.391463800168225,0.719595625400495
MXL,Technology,81.12,uptrend,84.49916527545909,8.88,37.69,24.14,2.05,True,False,False,5.23,14.4,161001049.0,59.0,2026-10-22,False,,False,1.1614108743757563,2.1867304893892494,1.5076517509931553,8.174430000582955,1.1614108743757563
SBET,Financial Services,9.35,chop,84.43656093489149,5.39,5.36,23.06,1.72,True,False,False,0.66,15.9,80371367.0,44.0,2026-11-12,False,,False,0.8799851269067487,1.7220459998954403,4.2481252775427105,13.196127389641067,0.8799851269067487
TWST,Healthcare,166.99,uptrend,84.37395659432387,31.35,30.98,22.36,1.78,True,False,False,9.91,13.3,244809612.0,48.0,2026-11-16,False,,False,1.3100217401578524,1.814535185972872,1.6236550151975684,7.347652426045492,1.3100217401578524
CLMT,Basic Materials,59.0,uptrend,84.31135225375627,3.97,11.52,22.05,2.06,True,False,False,2.31,8.7,69976690.0,44.0,2026-11-06,False,2016-01-29,False,1.188656933642607,2.2121336161450773,1.9025271563357349,-0.08467271415164568,1.188656933642607
VLO,Energy,413.28,uptrend,84.18614357262103,5.95,12.73,20.89,2.96,True,False,False,13.71,7.4,1196511539.0,52.0,2026-10-22,False,2026-07-31,False,1.365464762980291,3.329335950453963,2.1431366661662414,0.18180496017727865,1.365464762980291
AMD,Technology,559.82,uptrend,84.10267111853088,8.56,23.96,19.12,1.67,True,False,False,22.33,8.9,9481217018.0,47.0,2026-11-03,False,1995-04-27,False,1.2718683055682585,1.7439340167180253,1.949129735694068,2.7023023249434175,1.2718683055682585
MARA,Financial Services,13.24,uptrend,84.08180300500834,10.61,15.38,18.62,1.64,True,False,False,0.83,14.1,592568340.0,46.0,2026-11-04,False,,False,1.0705531250821243,1.6441417611933096,1.4801107714172475,13.74569914607644,1.0705531250821243
MPC,Energy,424.89,uptrend,84.06093489148581,7.41,10.83,18.48,3.48,True,False,False,13.48,7.1,1112907868.0,47.0,2026-11-03,False,2026-08-19,False,1.2083412146798296,3.9664435742543573,3.063008275842286,0.6943841247260218,1.2083412146798296
INSW,Energy,111.15,uptrend,83.97746243739566,7.33,15.47,17.41,2.47,True,False,False,3.51,7.1,73704660.0,41.0,2026-11-05,False,2026-09-10,False,1.3286617411836392,2.7394317922157057,1.43488021444128,0.5609361742779262,1.3286617411836392
CLSK,Financial Services,14.47,uptrend,83.64357262103506,5.94,16.26,14.71,1.66,True,False,False,0.89,13.7,226755000.0,45.0,2026-11-24,False,,False,0.9349901438163922,1.6719781878801283,1.3610957832044464,8.389512011652677,0.9349901438163922
FFIV,Technology,432.03,uptrend,83.60183639398998,5.03,11.41,14.23,2.3,True,False,False,14.08,7.3,215440781.0,55.0,2026-10-26,False,,False,1.2613977065496245,2.508989377595071,1.313658953083609,-0.5959220392500075,1.2613977065496245
PSX,Energy,273.13,uptrend,83.5287979966611,5.36,8.49,13.68,3.28,True,False,False,7.9,6.5,796697499.0,46.0,2026-10-28,False,2026-08-18,False,1.152024560208747,3.7037697953862208,1.704665857894691,-0.3938538368112532,1.152024560208747
NTRA,Healthcare,369.39,uptrend,83.4974958263773,12.39,13.97,13.59,2.84,True,False,False,11.39,6.9,447015665.0,45.0,2026-11-05,False,,False,1.4056752929909224,3.0689018877738468,3.0174015699742425,0.8408225574981998,1.4056752929909224
PI,Technology,181.23,uptrend,83.47662771285476,2.59,4.74,13.33,1.54,True,False,False,8.6,10.6,64610439.0,53.0,2026-10-28,False,,False,1.0861661516087984,1.6131332764672157,1.2238894314717808,0.8345852309894486,1.0861661516087984
RIOT,Financial Services,23.75,uptrend,83.45575959933223,10.71,13.59,13.07,1.57,True,False,False,1.45,13.7,325963312.0,41.0,2026-10-29,False,2017-10-12,False,0.9314768434500942,1.5758838797437642,1.2703420610397353,8.546622079339606,0.9314768434500942
COIN,Financial Services,194.25,chop,83.41402337228715,10.93,2.04,12.58,1.98,True,False,False,12.9,14.9,2010670202.0,52.0,2026-10-29,False,,False,1.288766433307918,2.020443150574155,1.61518089164276,11.657181489335677,1.288766433307918
SNDK,Technology,1791.82,uptrend,83.24707846410683,9.79,16.47,11.82,1.65,True,False,False,102.83,12.8,17224574474.0,46.0,2026-11-06,False,,False,0.775644694744936,1.6963834583078063,1.5853763321812633,10.990524596329564,0.775644694744936
HNGE,Healthcare,94.9,uptrend,83.03839732888147,7.22,5.8,10.71,2.32,True,False,False,4.23,10.0,191817536.0,47.0,2026-11-03,False,,False,0.9725853148435732,2.5314947623618407,1.0893041436285043,0.19003410352198546,0.9725853148435732
UNM,Financial Services,95.19,uptrend,82.7253756260434,0.91,-0.19,9.35,3.3,True,False,False,2.23,5.2,178022370.0,54.0,2026-11-03,False,2026-07-24,False,1.7495822654500688,3.8181090600285312,0.9804472923602799,-0.4496970224058594,1.7495822654500688
VRSN,Technology,303.12,uptrend,82.70450751252088,3.65,4.57,9.34,2.07,True,False,False,7.55,5.6,203960496.0,59.0,2026-10-22,False,2026-08-19,False,0.944055408283661,2.2100488806484733,2.041789352003315,0.35424842491704744,0.944055408283661
COHR,Technology,317.36,uptrend,82.64190317195326,4.02,21.27,9.29,1.66,True,False,False,19.23,13.6,1765466813.0,39.0,2026-11-04,False,,False,1.209651640444726,1.7323955547864809,1.576050337108897,7.223452115562612,1.209651640444726
AAPL,Technology,336.13,uptrend,82.38105175292154,1.25,3.65,7.85,1.99,True,False,False,7.7,5.1,14066645514.0,52.0,2026-10-29,False,2026-08-10,False,0.871918718124121,2.097798870704815,0.7933717166154649,-0.2581587884829428,0.871918718124121
VICR,Technology,222.72,uptrend,82.10976627712854,12.63,25.83,7.13,2.3,True,False,False,14.02,14.1,146386670.0,61.0,2026-10-20,False,2011-08-05,False,1.268352280242539,2.4003285832631382,1.0681705366499366,2.925274665607991,1.268352280242539
EBAY,Consumer Cyclical,111.84,uptrend,82.07846410684473,3.89,6.89,7.11,4.03,True,False,False,3.57,7.1,554765627.0,46.0,2026-11-04,False,2026-08-28,False,1.0901016681002877,4.733601471473207,2.958689692877652,-0.9388885506306233,1.0901016681002877
SNX,Technology,266.16,uptrend,81.77587646076795,-1.04,2.62,6.01,4.4,True,False,False,7.78,6.5,161433316.0,87.0,2026-09-24,True,2026-07-17,False,1.338972560346606,5.372984762297739,1.6133467894537656,0.6618509041875553,1.338972560346606
HALO,Healthcare,112.45,uptrend,81.68196994991652,4.99,2.77,5.84,5.36,True,False,False,2.83,5.6,207597977.0,45.0,2026-11-02,False,,False,0.9632994742483794,6.930665441614347,2.396090139535715,2.5255257433981715,0.9632994742483794
MO,Consumer Defensive,69.52,uptrend,81.50459098497495,2.49,2.88,5.38,1.72,True,False,False,1.38,4.4,568561968.0,52.0,2026-10-29,False,2026-09-15,False,1.109795678573906,1.7596333350317659,0.7729213680024213,-0.258250090469081,1.109795678573906
HCA,Healthcare,427.71,chop,81.47328881469116,0.46,5.96,5.34,3.5,True,False,False,13.69,7.2,653995561.0,58.0,2026-10-23,False,2026-09-16,False,0.9579301105447905,4.074589667018434,0.7219678556994402,-0.3099983832170916,0.9579301105447905
ISRG,Healthcare,393.33,chop,81.18113522537563,6.64,7.59,4.9,2.12,True,False,False,12.19,6.9,863702721.0,66.0,2026-10-20,False,,False,0.9837809415062252,2.1675720034233388,1.840471046204883,2.5525311073765433,0.9837809415062252
PENG,Technology,53.3,chop,80.78464106844741,4.28,10.84,4.1,1.66,True,False,False,2.76,11.6,69155770.0,75.0,2026-10-06,False,,False,0.9321760844174152,1.6762656570945265,0.9479095367462865,1.427212199598027,0.9321760844174152
CPA,Industrials,131.73,chop,80.6594323873122,2.09,3.03,3.93,1.63,True,False,False,3.14,5.3,34610457.0,46.0,2026-11-18,False,2026-08-31,False,1.348289649044869,1.6912290189867305,0.5324515797291893,0.5188803204473791,1.348289649044869
TMO,Healthcare,651.45,uptrend,80.57595993322204,7.0,6.66,3.76,2.26,True,False,False,15.47,5.3,1274051842.0,59.0,2026-10-21,False,2026-09-15,False,1.4685101591794152,2.365224307657346,2.0487309797317614,-1.0435646859816683,1.4685101591794152
MSM,Industrials,122.21,uptrend,80.50292153589317,1.5,4.9,3.7,2.91,True,False,False,2.75,5.0,77256224.0,81.0,2026-10-22,False,2026-07-08,False,1.1703033849013096,3.216774793068438,1.177703297447356,0.36957698780155646,1.1703033849013096
PRM,Basic Materials,32.18,chop,80.3881469115192,2.06,1.65,3.44,2.06,True,False,False,0.98,6.8,31957534.0,51.0,2026-10-29,False,,False,1.020417576335291,2.1431280300933757,1.9295742199311725,0.0,1.020417576335291
STAG,Real Estate,37.6,chop,80.17946577629382,1.33,0.97,3.25,1.91,True,False,False,0.53,3.1,57930254.0,54.0,2026-10-28,False,2026-09-30,True,0.8528620499953037,1.993170260442524,1.034740818825255,0.29340301608329344,0.8528620499953037
LUV,Industrials,40.98,chop,80.05425709515859,4.53,7.05,3.08,2.56,True,False,False,1.2,6.5,217587878.0,60.0,2026-10-21,False,2026-09-03,False,1.3694507185633504,2.7991959407334357,0.7736802870807221,1.5865131066624016,1.3694507185633504
NTAP,Technology,197.79,uptrend,79.62646076794658,-0.65,7.93,2.45,1.89,True,False,False,9.25,10.5,481135324.0,18.0,2026-12-01,False,2026-10-09,False,0.8546758211846918,1.9987456350791637,0.8405938412980437,0.44180130270015106,0.8546758211846918
EXPD,Industrials,190.94,uptrend,79.53255425709516,-0.77,3.28,2.31,2.79,True,False,False,3.41,4.0,170608620.0,47.0,2026-11-03,False,2026-06-01,False,1.186993936538247,3.1172889258124914,1.1107552239156195,0.9837109119628096,1.186993936538247
PG,Consumer Defensive,146.39,uptrend,79.45951585976627,0.86,0.88,2.26,1.5,True,False,False,2.34,3.6,1249510266.0,53.0,2026-10-22,False,2026-07-24,False,0.8929670436622097,1.4800438539993874,1.073671022361055,-0.7861766439289486,0.8929670436622097
FORM,Technology,118.38,uptrend,79.32387312186978,3.08,23.58,2.18,2.15,True,False,False,6.32,11.9,123187108.0,53.0,2026-10-28,False,,False,0.9776027913994719,2.3228970199924555,1.2901176611598315,6.141843942521996,0.9776027913994719
ETN,Industrials,424.77,uptrend,79.30300500834724,-0.05,8.2,2.15,2.24,True,False,False,15.09,7.9,839511393.0,51.0,2026-11-03,False,2026-08-07,False,1.3465051160599797,2.4139952372229345,0.6629614060049476,3.739070453302995,1.3465051160599797
DGX,Healthcare,246.45,uptrend,79.2821368948247,4.96,4.19,2.01,1.92,True,False,False,5.48,5.0,242406077.0,59.0,2026-10-20,False,2026-10-06,False,1.110961361020973,1.9955005857532373,1.308421101044014,-0.40412204984151545,1.110961361020973
ADI,Technology,375.72,uptrend,78.9482470784641,-0.72,6.63,1.66,2.13,True,False,False,10.44,6.2,1325813766.0,32.0,2026-11-24,False,2026-09-01,False,0.9553925560522354,2.2559450228192794,0.726056007639787,3.604028000604198,0.9553925560522354
TXNM,Utilities,58.44,chop,78.88564273789649,1.43,1.76,1.58,2.69,True,False,False,0.37,1.4,91331144.0,51.0,2026-10-30,False,2026-09-30,True,1.165758242225268,3.0037859872431,0.9864663740477272,-0.2560189887152231,1.165758242225268
GSAT,Communication Services,82.84,uptrend,78.29090150250417,0.53,2.29,0.9,2.17,True,False,False,0.65,1.8,49900335.0,45.0,2026-11-05,False,,False,0.9606413235753183,2.288508896673719,0.705399949533182,0.3877844254021934,0.9606413235753183
