Symbol,Sector,Price,Trend,Score,RS_5d,RS_10d,RS_20d,VolRatio,Breakout,Pullback,GapEvent,ATR14,ExpMovePct,DollarVol20d,DaysSinceEarnings,NextEarnings,EarningsInWindow
TARS,,90.78,chop,64.58052434456928,26.4,24.29,40.51,2.06,True,False,False,3.37,7.4,58157654.0,,,False
AGCO,,133.4,chop,64.10112359550561,17.54,24.31,30.52,1.73,True,False,False,4.73,7.1,133046294.0,,,False
MRX,,78.27,uptrend,64.07116104868913,7.35,6.89,29.39,2.02,True,False,False,3.29,8.4,54658002.0,,,False
DHT,Energy,20.87,uptrend,62.632958801498134,6.05,4.71,19.06,1.55,True,False,False,0.68,6.5,64899391.0,32.0,2026-10-28,False
GPI,Consumer Cyclical,300.76,chop,60.77528089887641,14.07,14.51,13.5,2.41,True,False,False,9.85,6.6,54465053.0,39.0,2026-10-27,False
SU,Energy,67.33,uptrend,60.565543071161045,3.45,-1.55,13.15,2.31,True,False,False,1.57,4.7,297084131.0,33.0,2026-11-03,False
ABCL,Healthcare,11.43,uptrend,59.88014981273408,0.6,0.39,65.33,0.2,False,True,False,0.77,13.6,107464603.0,32.0,2026-11-05,False
RUM,Communication Services,8.6,uptrend,59.49063670411985,-4.34,-5.56,35.09,0.7,False,True,False,0.71,16.4,39842713.0,27.0,2026-11-09,False
ETON,Healthcare,58.45,uptrend,59.250936329588015,-2.33,-8.49,31.45,0.74,False,True,False,3.07,10.5,41282267.0,24.0,2026-11-12,False
SM,Energy,36.44,uptrend,58.921348314606746,-0.02,-2.05,27.32,0.59,False,True,False,1.33,7.3,127020878.0,32.0,2026-11-02,False
REPL,Healthcare,15.04,uptrend,58.59176029962547,-3.08,1.24,25.11,0.29,False,True,False,0.86,11.4,47141348.0,24.0,2026-11-05,False
NBIS,Communication Services,226.39,uptrend,58.02247191011236,8.12,2.73,20.84,0.68,False,True,False,15.48,13.7,5066254507.0,26.0,2026-11-10,False
TXG,Healthcare,62.65,uptrend,57.9625468164794,1.69,-4.38,20.81,0.5,False,True,False,3.78,12.1,180698924.0,31.0,2026-11-05,False
HP,Energy,44.36,uptrend,57.932584269662925,4.14,1.28,20.64,0.59,False,True,False,1.69,7.6,63397145.0,32.0,2026-11-16,False
JXN,Financial Services,140.63,uptrend,57.80898876404495,4.71,7.69,8.61,1.59,True,False,False,3.34,4.8,70204689.0,34.0,2026-11-03,False
NESR,Energy,34.75,uptrend,57.737827715355806,0.79,4.62,20.14,0.73,False,True,False,1.45,8.4,76781117.0,28.0,2026-11-12,False
LFST,Healthcare,12.73,uptrend,57.333333333333336,3.3,1.5,17.83,0.49,False,True,False,0.42,6.6,50980757.0,32.0,2026-11-05,False
HAE,Healthcare,102.92,uptrend,57.2434456928839,-1.11,-5.99,17.56,0.56,False,True,False,3.47,6.7,76977011.0,32.0,2026-11-05,False
PR,Energy,23.36,uptrend,56.943820224719104,2.8,-2.23,16.33,0.69,False,True,False,0.65,5.5,211783433.0,32.0,2026-11-04,False
COP,Energy,134.26,uptrend,56.55430711610487,2.89,-1.04,15.32,0.84,False,True,False,2.87,4.3,858700380.0,32.0,2026-11-05,False
CVE,Energy,32.37,uptrend,56.43445692883895,2.39,-2.28,14.98,0.74,False,True,False,0.92,5.7,191962812.0,40.0,2026-10-29,False
TDW,Energy,94.26,uptrend,56.17977528089888,1.66,-1.62,14.18,0.79,False,True,False,3.71,7.9,56603429.0,34.0,2026-11-09,False
BLLN,Healthcare,99.39,chop,56.1310861423221,6.49,4.0,6.82,1.62,True,False,False,4.81,9.7,57825338.0,32.0,2026-11-05,False
HCC,Basic Materials,104.45,uptrend,56.10486891385768,-2.56,-2.72,14.07,0.72,False,True,False,4.83,9.2,56971674.0,32.0,2026-11-04,False
APA,Energy,42.77,uptrend,56.0749063670412,0.43,-2.01,14.06,0.81,False,True,False,1.5,7.0,221861946.0,32.0,2026-11-04,False
EGO,Basic Materials,43.02,uptrend,56.04494382022472,-5.36,-6.33,14.04,0.56,False,True,False,2.14,10.0,122456615.0,38.0,2026-10-29,False
TRGP,Energy,290.05,uptrend,55.655430711610485,0.67,-3.61,13.31,0.49,False,True,False,9.02,6.2,348170893.0,32.0,2026-11-05,False
CVX,Energy,208.6,uptrend,55.62546816479401,3.23,1.04,13.19,0.7,False,True,False,3.67,3.5,1577775997.0,38.0,2026-10-30,False
CHRD,Energy,146.39,uptrend,55.38576779026217,0.16,-1.57,12.84,0.53,False,True,False,4.46,6.1,93118966.0,32.0,2026-11-03,False
DVN,Energy,48.06,uptrend,55.17602996254682,1.39,-2.7,12.22,0.88,False,True,False,1.15,4.8,478267163.0,33.0,2026-11-04,False
UGI,Utilities,37.94,uptrend,54.69662921348315,-0.29,0.35,11.4,0.55,False,True,False,1.07,5.6,96413331.0,32.0,2026-11-18,False
WTRG,Utilities,41.7,uptrend,54.63295880149813,1.35,3.2,5.5,1.52,True,False,False,0.81,3.9,85656193.0,33.0,2026-11-04,False
TGT,Consumer Defensive,164.44,uptrend,54.546816479400746,0.66,-1.19,11.09,0.59,False,True,False,5.31,6.5,778756203.0,19.0,2026-11-18,False
KNTK,Energy,54.43,uptrend,54.51685393258427,1.04,-0.71,11.07,0.72,False,True,False,1.42,5.2,53607924.0,32.0,2026-11-04,False
VNOM,Energy,44.39,uptrend,54.441947565543074,0.37,-2.53,10.9,0.59,False,True,False,0.85,3.8,60370981.0,34.0,2026-11-02,False
CRM,Technology,259.23,chop,54.430711610486895,1.15,23.35,34.89,0.64,False,False,True,11.46,8.8,3769324910.0,11.0,2026-12-02,False
SOLV,Healthcare,91.69,uptrend,54.38202247191011,0.52,1.78,10.89,0.58,False,True,False,2.0,4.4,88205438.0,32.0,2026-11-05,False
ANF,Consumer Cyclical,149.67,uptrend,54.34082397003746,0.73,36.72,33.3,0.62,False,False,True,8.78,11.7,317639978.0,12.0,2026-11-25,False
MEOH,Basic Materials,58.72,uptrend,54.12734082397004,1.71,-2.88,10.63,0.43,False,True,False,2.3,7.8,33877436.0,40.0,2026-10-29,False
GTLB,Technology,49.83,uptrend,54.01123595505618,10.94,19.0,28.26,0.92,False,False,True,2.48,10.0,275207539.0,5.0,2026-12-01,False
VRTX,Healthcare,546.12,uptrend,53.97752808988764,0.71,-0.94,10.49,0.72,False,True,False,12.47,4.6,600575541.0,34.0,2026-11-02,False
DAR,Consumer Defensive,65.19,uptrend,53.857677902621724,1.24,-1.42,10.13,0.71,False,True,False,3.3,10.1,174471091.0,39.0,2026-10-29,False
MANH,Technology,213.77,uptrend,53.67790262172285,-4.37,-0.95,9.89,0.53,False,True,False,7.16,6.7,155675540.0,40.0,2026-10-27,False
KYMR,Healthcare,117.39,uptrend,53.61797752808989,-0.75,-2.6,9.58,0.54,False,True,False,5.01,8.5,83384385.0,33.0,2026-11-03,False
WDAY,Technology,195.79,uptrend,53.468164794007485,-4.47,-2.69,9.39,0.57,False,True,False,8.73,8.9,982337959.0,10.0,2026-12-01,False
NOV,Energy,21.39,uptrend,53.333333333333336,1.8,4.17,9.25,0.59,False,True,False,0.69,6.5,64428778.0,40.0,2026-10-26,False
ESTC,Technology,91.81,uptrend,53.32209737827716,-8.22,6.25,22.63,0.61,False,False,True,5.74,12.5,285765788.0,10.0,2026-11-19,False
